Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652105624,51771;18,04302
E4_Bvp;1652105624,53333;16,61917
E4_Bvp;1652105624,54896;15,02876
E4_Bvp;1652105624,56458;13,40873
E4_Bvp;1652105624,58021;11,84277
E4_Bvp;1652105624,59584;10,36274
E4_Bvp;1652105624,61146;9,015659
E4_Bvp;1652105624,62709;7,817398
E4_Bvp;1652105624,64271;6,777676
E4_Bvp;1652105624,65834;5,882534
E4_Bvp;1652105624,67396;5,102169
E4_Bvp;1652105624,68959;4,432713
E4_Bvp;1652105624,70522;3,881962
E4_Bvp;1652105624,72084;3,463013
E4_Bvp;1652105624,73647;3,124157
E4_Bvp;1652105624,75209;2,757092
E4_Bvp;1652105624,76772;2,231251
E4_Bvp;1652105624,78334;1,443386
E4_Bvp;1652105624,79897;0,372879
E4_Bvp;1652105624,8146;-0,9133759
E4_Bvp;1652105624,83022;-2,299816
E4_Bvp;1652105624,84585;-3,686218
E4_Bvp;1652105624,86147;-5,01078
E4_Bvp;1652105624,8771;-6,280163
E4_Bvp;1652105624,89272;-7,514088
E4_Bvp;1652105624,90835;-8,728176
E4_Bvp;1652105624,92398;-9,935158
E4_Bvp;1652105624,9396;-11,14051
E4_Bvp;1652105624,95523;-12,39261
E4_Bvp;1652105624,97085;-13,73162
E4_Bvp;1652105624,98648;-15,25182
E4_Bvp;1652105625,0021;-17,00186
E4_Bvp;1652105625,01773;-19,00639
E4_Bvp;1652105625,03336;-21,207
E4_Bvp;1652105625,04898;-23,45253
E4_Bvp;1652105625,06461;-25,5041
E4_Bvp;1652105625,08023;-27,01549
E4_Bvp;1652105625,09586;-27,5887
E4_Bvp;1652105625,11148;-26,83993
E4_Bvp;1652105625,12711;-24,54808
E4_Bvp;1652105625,14274;-20,72258
E4_Bvp;1652105625,15836;-15,69526
E4_Bvp;1652105625,17399;-10,01973
E4_Bvp;1652105625,18961;-4,375923
ManipulatedHR;1652105619,55413;63.85459
E4_Bvp;1652105625,20524;0,6110497
E4_Bvp;1652105625,22086;4,56041
E4_Bvp;1652105625,23649;7,346081
E4_Hr;1652105619,55413;56,46798
E4_Ibi;1652105619,55413;1,062549
E4_Bvp;1652105625,25212;9,069992
E4_Bvp;1652105625,26774;9,985062
E4_Bvp;1652105625,28337;10,36172
E4_Bvp;1652105625,29899;10,424
E4_Bvp;1652105625,31462;10,34495
E4_Bvp;1652105625,33024;10,24596
E4_Bvp;1652105625,34587;10,18973
E4_Bvp;1652105625,3615;10,266
E4_Gsr;1652105623,908;0,06664126
E4_Gsr;1652105624,158;0,06664126
E4_Gsr;1652105624,408;0,06279657
E4_Gsr;1652105624,658;0,06279657
E4_Gsr;1652105624,908;0,06407813
E4_Gsr;1652105625,158;0,06407813
E4_Bvp;1652105625,37712;10,55642
E4_Bvp;1652105625,39275;11,12371
E4_Bvp;1652105625,40837;12,02663
E4_Bvp;1652105625,424;13,24225
E4_Bvp;1652105625,43962;14,66402
E4_Bvp;1652105625,45525;16,09027
E4_Bvp;1652105625,47088;17,3095
E4_Bvp;1652105625,4865;18,13506
E4_Bvp;1652105625,50213;18,47456
E4_Bvp;1652105625,51775;18,33774
E4_Bvp;1652105625,53338;17,79726
E4_Bvp;1652105625,549;16,94614
E4_Bvp;1652105625,56463;15,85839
E4_Bvp;1652105625,58026;14,54109
E4_Bvp;1652105625,59588;13,00517
E4_Bvp;1652105625,61151;11,30058
E4_Bvp;1652105625,62713;9,536152
E4_Bvp;1652105625,64276;7,89056
E4_Bvp;1652105625,65838;6,527134
E4_Bvp;1652105625,67401;5,563568
E4_Bvp;1652105625,68964;4,967358
E4_Bvp;1652105625,70526;4,61311
E4_Bvp;1652105625,72089;4,325218
E4_Bvp;1652105625,73651;3,961617
E4_Bvp;1652105625,75214;3,483799
E4_Bvp;1652105625,76776;2,949726
E4_Bvp;1652105625,78339;2,426495
E4_Bvp;1652105625,79902;1,979572
E4_Bvp;1652105625,81464;1,572563
E4_Bvp;1652105625,83027;1,15102
E4_Bvp;1652105625,84589;0,6472511
E4_Bvp;1652105625,86152;0,0423584
E4_Bvp;1652105625,87714;-0,6755409
E4_Bvp;1652105625,89277;-1,557709
E4_Bvp;1652105625,9084;-2,703419
E4_Bvp;1652105625,92402;-4,245171
E4_Bvp;1652105625,93965;-6,247059
E4_Bvp;1652105625,95527;-8,653374
E4_Bvp;1652105625,9709;-11,26137
E4_Bvp;1652105625,98652;-13,79133
E4_Bvp;1652105626,00215;-15,97663
E4_Bvp;1652105626,01778;-17,68112
E4_Bvp;1652105626,0334;-18,91553
E4_Bvp;1652105626,04903;-19,8493
E4_Bvp;1652105626,06465;-20,7294
E4_Bvp;1652105626,08028;-21,80615
E4_Bvp;1652105626,0959;-23,24899
E4_Bvp;1652105626,11153;-25,10435
E4_Bvp;1652105626,12716;-27,22826
E4_Bvp;1652105626,14278;-29,28386
E4_Bvp;1652105626,15841;-30,82372
E4_Bvp;1652105626,17403;-31,32866
E4_Bvp;1652105626,18966;-30,33424
E4_Bvp;1652105626,20528;-27,59428
E4_Bvp;1652105626,22091;-23,14153
ManipulatedHR;1652105620,61668;63.85459
E4_Bvp;1652105626,23654;-17,36155
E4_Bvp;1652105626,25216;-10,92898
E4_Bvp;1652105626,26779;-4,657375
E4_Bvp;1652105626,28341;0,7162285
E4_Bvp;1652105626,29904;4,723244
E4_Bvp;1652105626,31466;7,255009
E4_Hr;1652105620,61668;56,46796
E4_Ibi;1652105620,61668;1,062549
E4_Bvp;1652105626,33029;8,539745
E4_Bvp;1652105626,34592;8,965069
E4_Bvp;1652105626,36154;8,936855
E4_Bvp;1652105626,37717;8,755161
E4_Bvp;1652105626,39279;8,574657
E4_Bvp;1652105626,40842;8,483551
E4_Bvp;1652105626,42404;8,512451
E4_Bvp;1652105626,43967;8,690002
E4_Bvp;1652105626,4553;9,013046
E4_Bvp;1652105626,47092;9,488522
E4_Bvp;1652105626,48655;10,08969
E4_Bvp;1652105626,50217;10,8092
E4_Bvp;1652105626,5178;11,6501
E4_Bvp;1652105626,53342;12,5832
E4_Bvp;1652105626,54905;13,5302
E4_Bvp;1652105626,56468;14,36135
E4_Bvp;1652105626,5803;14,8958
E4_Bvp;1652105626,59593;14,95687
E4_Bvp;1652105626,61155;14,46009
E4_Bvp;1652105626,62718;13,41728
E4_Bvp;1652105626,64281;11,98569
E4_Bvp;1652105626,65843;10,40945
E4_Bvp;1652105626,67406;8,923874
E4_Bvp;1652105626,68968;7,702103
E4_Bvp;1652105626,70531;6,782936
E4_Bvp;1652105626,72093;6,063049
E4_Bvp;1652105626,73656;5,381229
E4_Bvp;1652105626,75219;4,625404
E4_Bvp;1652105626,76781;3,774265
E4_Bvp;1652105626,78344;2,924778
E4_Bvp;1652105626,79906;2,223473
E4_Bvp;1652105626,81469;1,731716
E4_Bvp;1652105626,83031;1,395313
E4_Bvp;1652105626,84594;1,095142
E4_Bvp;1652105626,86157;0,705471
E4_Bvp;1652105626,87719;0,2253113
E4_Bvp;1652105626,89282;-0,2460442
E4_Bvp;1652105626,90844;-0,6060867
E4_Gsr;1652105625,408;0,06664126
E4_Gsr;1652105625,658;0,06535969
E4_Gsr;1652105625,908;0,06664126
E4_Gsr;1652105626,158;0,06664126
E4_Gsr;1652105626,408;0,06535969
E4_Gsr;1652105626,658;0,06407813
E4_Bvp;1652105626,92407;-0,8252106
E4_Bvp;1652105626,93969;-1,003204
E4_Bvp;1652105626,95532;-1,351654
E4_Bvp;1652105626,97095;-2,067509
E4_Bvp;1652105626,98657;-3,223862
E4_Bvp;1652105627,0022;-4,757492
E4_Bvp;1652105627,01782;-6,477551
E4_Bvp;1652105627,03345;-8,193073
E4_Bvp;1652105627,04907;-9,785595
E4_Bvp;1652105627,0647;-11,23197
E4_Bvp;1652105627,08033;-12,54225
E4_Bvp;1652105627,09595;-13,75125
E4_Bvp;1652105627,11158;-14,88126
E4_Bvp;1652105627,1272;-15,96168
E4_Bvp;1652105627,14283;-17,08212
E4_Bvp;1652105627,15845;-18,35339
E4_Bvp;1652105627,17408;-19,823
E4_Bvp;1652105627,18971;-21,42497
E4_Bvp;1652105627,20533;-22,9319
E4_Bvp;1652105627,22096;-23,97258
E4_Bvp;1652105627,23658;-24,10014
E4_Bvp;1652105627,25221;-22,94705
