Question, Answer
TQ1,Yes
TQ2,4
TQ3,5
TQ4,3
TQ5,5
TQ6,3
TQ7,4
TQ8,5
TQ9,3
TQ10,5
TQ11,3
TQ12,5
TQ13,4
