Question, Answer
TQ1,Yes
TQ2,4
TQ3,5
TQ4,5
TQ5,5
TQ6,5
TQ7,4
TQ8,6
TQ9,2
TQ10,1
TQ11,1
TQ12,1
TQ13,1
