Question, Answer
TQ1,Yes
TQ2,6
TQ3,6
TQ4,6
TQ5,6
TQ6,4
TQ7,5
TQ8,6
TQ9,3
TQ10,3
TQ11,4
TQ12,6
TQ13,1
