Stream; Time Stamp; Data
R;pause;OFF
E4_Gsr;1652178507,016;0,3806012
E4_Gsr;1652178507,266;0,3767567
E4_Gsr;1652178507,516;0,3780382
E4_Gsr;1652178507,766;0,3806012
E4_Gsr;1652178508,016;0,3806012
E4_Gsr;1652178508,266;0,3818826
E4_Bvp;1652178508,2127;1,096766
E4_Bvp;1652178508,22833;-0,4772739
E4_Bvp;1652178508,24395;-2,057209
E4_Bvp;1652178508,25958;-3,801518
E4_Bvp;1652178508,2752;-5,857763
E4_Bvp;1652178508,29083;-8,305092
E4_Bvp;1652178508,30646;-11,17138
E4_Bvp;1652178508,32208;-14,41592
E4_Bvp;1652178508,33771;-17,93072
E4_Bvp;1652178508,35333;-21,44608
E4_Bvp;1652178508,36896;-24,49474
ManipulatedHR;1652178503,30443;69.99358
E4_Bvp;1652178508,38458;-26,44696
E4_Bvp;1652178508,40021;-26,66515
E4_Bvp;1652178508,41584;-24,71792
E4_Bvp;1652178508,43146;-20,58773
E4_Bvp;1652178508,44709;-14,73109
E4_Bvp;1652178508,46271;-7,913564
E4_Bvp;1652178508,47834;-0,9944572
E4_Bvp;1652178508,49396;5,288705
E4_Bvp;1652178508,50959;10,43194
E4_Hr;1652178503,30443;93,65421
E4_Ibi;1652178503,30443;0,6406546
E4_Bvp;1652178508,52522;14,19875
E4_Bvp;1652178508,54084;16,5884
E4_Bvp;1652178508,55647;17,76952
E4_Bvp;1652178508,57209;18,01946
E4_Bvp;1652178508,58772;17,61607
E4_Bvp;1652178508,60334;16,78581
E4_Bvp;1652178508,61897;15,64483
E4_Bvp;1652178508,6346;14,25124
E4_Bvp;1652178508,65022;12,64097
E4_Bvp;1652178508,66585;10,91315
E4_Bvp;1652178508,68147;9,233335
E4_Bvp;1652178508,6971;7,771168
E4_Bvp;1652178508,71272;6,597193
E4_Bvp;1652178508,72835;5,656811
E4_Bvp;1652178508,74398;4,758114
E4_Bvp;1652178508,7596;3,675048
E4_Bvp;1652178508,77523;2,253773
E4_Bvp;1652178508,79085;0,4631047
E4_Bvp;1652178508,80648;-1,583609
E4_Bvp;1652178508,8221;-3,689433
E4_Bvp;1652178508,83773;-5,656064
E4_Bvp;1652178508,85336;-7,365543
E4_Bvp;1652178508,86898;-8,832351
E4_Bvp;1652178508,88461;-10,25355
E4_Bvp;1652178508,90023;-11,92281
E4_Bvp;1652178508,91586;-14,13676
E4_Bvp;1652178508,93148;-17,04927
E4_Bvp;1652178508,94711;-20,61426
E4_Bvp;1652178508,96274;-24,50492
E4_Bvp;1652178508,97836;-28,20654
E4_Bvp;1652178508,99399;-31,11237
E4_Bvp;1652178509,00961;-32,60019
E4_Bvp;1652178509,02524;-32,17926
E4_Bvp;1652178509,04086;-29,60269
E4_Bvp;1652178509,05649;-24,94691
ManipulatedHR;1652178503,91384;104.0308
E4_Bvp;1652178509,07212;-18,6966
E4_Bvp;1652178509,08774;-11,63815
E4_Bvp;1652178509,10337;-4,661764
E4_Bvp;1652178509,11899;1,486941
E4_Bvp;1652178509,13462;6,429963
E4_Bvp;1652178509,15024;10,21395
E4_Hr;1652178503,91384;98,45695
E4_Ibi;1652178503,91384;0,6094034
E4_Bvp;1652178509,16587;13,15899
E4_Bvp;1652178509,1815;15,61341
E4_Bvp;1652178509,19712;17,72014
E4_Bvp;1652178509,21275;19,33603
E4_Bvp;1652178509,22837;20,15451
E4_Bvp;1652178509,244;19,90859
E4_Bvp;1652178509,25962;18,59615
E4_Bvp;1652178509,27525;16,53208
E4_Bvp;1652178509,29088;14,27786
E4_Bvp;1652178509,3065;12,36233
E4_Bvp;1652178509,32213;11,09582
E4_Bvp;1652178509,33775;10,46347
E4_Bvp;1652178509,35338;10,17566
E4_Bvp;1652178509,369;9,851677
E4_Bvp;1652178509,38463;9,178747
E4_Bvp;1652178509,40026;8,040147
E4_Bvp;1652178509,41588;6,482392
E4_Bvp;1652178509,43151;4,636186
E4_Bvp;1652178509,44713;2,58869
E4_Bvp;1652178509,46276;0,3774271
E4_Bvp;1652178509,47838;-1,960491
E4_Bvp;1652178509,49401;-4,358353
E4_Bvp;1652178509,50964;-6,697731
E4_Bvp;1652178509,52526;-8,907787
E4_Bvp;1652178509,54089;-11,03154
E4_Bvp;1652178509,55651;-13,26132
E4_Bvp;1652178509,57214;-15,83869
E4_Bvp;1652178509,58776;-18,90101
E4_Bvp;1652178509,60339;-22,26401
E4_Bvp;1652178509,61902;-25,40039
E4_Bvp;1652178509,63464;-27,56695
E4_Bvp;1652178509,65027;-28,01365
E4_Bvp;1652178509,66589;-26,2785
E4_Bvp;1652178509,68152;-22,30261
E4_Bvp;1652178509,69714;-16,46581
E4_Bvp;1652178509,71277;-9,422003
E4_Bvp;1652178509,7284;-1,961092
E4_Bvp;1652178509,74402;5,171838
E4_Gsr;1652178508,516;0,3806012
E4_Gsr;1652178508,766;0,3793197
E4_Gsr;1652178509,016;0,3793197
E4_Gsr;1652178509,266;0,3831641
E4_Gsr;1652178509,516;0,3831641
E4_Gsr;1652178509,766;0,3818826
ManipulatedHR;1652178504,55449;69.6824
E4_Bvp;1652178509,75965;11,39804
E4_Hr;1652178504,55449;93,65421
E4_Ibi;1652178504,55449;0,6406546
E4_Bvp;1652178509,77527;16,36818
E4_Bvp;1652178509,7909;20,00823
E4_Bvp;1652178509,80652;22,47131
E4_Bvp;1652178509,82215;24,03338
E4_Bvp;1652178509,83778;24,91553
E4_Bvp;1652178509,8534;25,22285
E4_Bvp;1652178509,86903;24,8969
E4_Bvp;1652178509,88465;23,83197
E4_Bvp;1652178509,90028;22,05086
E4_Bvp;1652178509,9159;19,78709
E4_Bvp;1652178509,93153;17,47738
E4_Bvp;1652178509,94716;15,59686
E4_Bvp;1652178509,96278;14,46137
E4_Bvp;1652178509,97841;14,08125
E4_Bvp;1652178509,99403;14,16897
E4_Bvp;1652178510,00966;14,25495
E4_Bvp;1652178510,02528;13,9697
E4_Bvp;1652178510,04091;13,14736
E4_Bvp;1652178510,05654;11,90387
E4_Bvp;1652178510,07216;10,50632
E4_Bvp;1652178510,08779;9,194706
E4_Bvp;1652178510,10341;8,055261
E4_Bvp;1652178510,11904;6,989348
E4_Bvp;1652178510,13466;5,796123
E4_Bvp;1652178510,15029;4,294318
E4_Bvp;1652178510,16592;2,407772
E4_Bvp;1652178510,18154;0,1213732
E4_Bvp;1652178510,19717;-2,557059
E4_Bvp;1652178510,21279;-5,608074
E4_Bvp;1652178510,22842;-8,959315
E4_Bvp;1652178510,24405;-12,38618
E4_Bvp;1652178510,25967;-15,44658
E4_Bvp;1652178510,2753;-17,53374
E4_Bvp;1652178510,29092;-18,08907
E4_Bvp;1652178510,30655;-16,78034
E4_Bvp;1652178510,32217;-13,62702
E4_Bvp;1652178510,3378;-8,989506
E4_Bvp;1652178510,35343;-3,379682
E4_Bvp;1652178510,36905;2,673394
E4_Bvp;1652178510,38468;8,747616
E4_Bvp;1652178510,4003;14,49178
E4_Bvp;1652178510,41593;19,57752
E4_Bvp;1652178510,43155;23,67655
E4_Bvp;1652178510,44718;26,53269
E4_Bvp;1652178510,46281;28,04865
E4_Bvp;1652178510,47843;28,39807
E4_Bvp;1652178510,49406;27,94834
E4_Bvp;1652178510,50968;27,1845
E4_Bvp;1652178510,52531;26,57184
E4_Bvp;1652178510,54093;26,4045
E4_Bvp;1652178510,55656;26,80568
E4_Bvp;1652178510,57219;27,73732
E4_Bvp;1652178510,58781;29,09617
E4_Bvp;1652178510,60344;30,72644
E4_Bvp;1652178510,61906;32,44291
E4_Bvp;1652178510,63469;33,93979
E4_Bvp;1652178510,65031;34,86912
E4_Bvp;1652178510,66594;34,8989
E4_Bvp;1652178510,68157;33,86471
E4_Bvp;1652178510,69719;31,82681
E4_Bvp;1652178510,71282;29,0098
E4_Bvp;1652178510,72844;25,66153
E4_Bvp;1652178510,74407;21,8081
