Question, Answer
TQ1,Yes
TQ2,6
TQ3,6
TQ4,5
TQ5,5
TQ6,7
TQ7,7
TQ8,6
TQ9,2
TQ10,4
TQ11,5
TQ12,3
TQ13,2
