Question, Answer
TQ1,Yes
TQ2,5
TQ3,6
TQ4,5
TQ5,4
TQ6,5
TQ7,5
TQ8,4
TQ9,5
TQ10,4
TQ11,4
TQ12,2
TQ13,4
