Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652105049,39732;21,39981
E4_Bvp;1652105049,41295;20,68561
E4_Bvp;1652105049,42857;19,37703
E4_Bvp;1652105049,4442;17,60752
E4_Bvp;1652105049,45982;15,63395
E4_Bvp;1652105049,47545;13,75285
E4_Bvp;1652105049,49108;12,22448
E4_Bvp;1652105049,5067;11,11337
E4_Bvp;1652105049,52233;10,31508
E4_Bvp;1652105049,53795;9,618912
E4_Bvp;1652105049,55358;8,855812
E4_Bvp;1652105049,5692;7,991024
E4_Bvp;1652105049,58483;7,107662
E4_Bvp;1652105049,60046;6,317474
E4_Bvp;1652105049,61608;5,670967
E4_Bvp;1652105049,63171;5,131527
E4_Bvp;1652105049,64733;4,59269
E4_Bvp;1652105049,66296;3,957756
E4_Bvp;1652105049,67858;3,197807
E4_Bvp;1652105049,69421;2,314911
E4_Bvp;1652105049,70984;1,371719
E4_Bvp;1652105049,72546;0,3874741
E4_Bvp;1652105049,74109;-0,6369896
E4_Bvp;1652105049,75671;-1,759949
E4_Bvp;1652105049,77234;-3,01733
E4_Bvp;1652105049,78796;-4,449059
E4_Bvp;1652105049,80359;-6,099422
E4_Bvp;1652105049,81922;-7,9921
E4_Bvp;1652105049,83484;-10,11786
E4_Bvp;1652105049,85047;-12,37793
E4_Bvp;1652105049,86609;-14,60136
E4_Bvp;1652105049,88172;-16,58669
E4_Bvp;1652105049,89734;-18,16825
E4_Bvp;1652105049,91297;-19,31349
E4_Bvp;1652105049,9286;-20,13641
E4_Bvp;1652105049,94422;-20,89112
E4_Bvp;1652105049,95985;-21,87691
E4_Bvp;1652105049,97547;-23,30902
E4_Bvp;1652105049,9911;-25,29441
E4_Bvp;1652105050,00672;-27,74816
E4_Bvp;1652105050,02235;-30,41313
E4_Bvp;1652105050,03798;-32,81782
E4_Bvp;1652105050,0536;-34,34615
E4_Bvp;1652105050,06923;-34,31517
ManipulatedHR;1652105044,44937;73.00023
E4_Bvp;1652105050,08485;-32,19053
E4_Bvp;1652105050,10048;-27,78534
E4_Bvp;1652105050,1161;-21,43587
E4_Bvp;1652105050,13173;-13,95003
E4_Bvp;1652105050,14736;-6,338196
E4_Bvp;1652105050,16298;0,4263535
E4_Bvp;1652105050,17861;5,796734
E4_Bvp;1652105050,19423;9,670845
E4_Hr;1652105044,44937;53,33087
E4_Ibi;1652105044,44937;1,125052
E4_Bvp;1652105050,20986;12,29942
E4_Bvp;1652105050,22548;14,02907
E4_Bvp;1652105050,24111;15,13198
E4_Bvp;1652105050,25674;15,69477
E4_Bvp;1652105050,27236;15,6862
E4_Bvp;1652105050,28799;15,14841
E4_Bvp;1652105050,30361;14,25642
E4_Bvp;1652105050,31924;13,31501
E4_Bvp;1652105050,33486;12,6497
E4_Bvp;1652105050,35049;12,50904
E4_Bvp;1652105050,36612;12,96812
E4_Bvp;1652105050,38174;13,95952
E4_Bvp;1652105050,39737;15,30245
E4_Bvp;1652105050,41299;16,75408
E4_Bvp;1652105050,42862;18,15273
E4_Bvp;1652105050,44424;19,3639
E4_Bvp;1652105050,45987;20,32356
E4_Bvp;1652105050,4755;21,03014
E4_Bvp;1652105050,49112;21,4745
E4_Bvp;1652105050,50675;21,58947
E4_Bvp;1652105050,52237;21,25974
E4_Bvp;1652105050,538;20,32041
E4_Bvp;1652105050,55362;18,69791
E4_Bvp;1652105050,56925;16,5186
E4_Bvp;1652105050,58488;14,0744
E4_Bvp;1652105050,6005;11,79789
E4_Bvp;1652105050,61613;10,03854
E4_Bvp;1652105050,63175;8,943913
E4_Bvp;1652105050,64738;8,396206
E4_Bvp;1652105050,663;8,041397
E4_Bvp;1652105050,67863;7,564117
E4_Bvp;1652105050,69426;6,773933
E4_Bvp;1652105050,70988;5,795158
E4_Bvp;1652105050,72551;4,876575
E4_Bvp;1652105050,74113;4,32143
E4_Bvp;1652105050,75676;4,283558
E4_Gsr;1652105049,408;0,02178656
E4_Gsr;1652105049,658;0,020505
E4_Gsr;1652105049,908;0,02178656
E4_Gsr;1652105050,158;0,02178656
E4_Gsr;1652105050,408;0,02178656
E4_Gsr;1652105050,658;0,02306813
E4_Bvp;1652105050,77238;4,688789
E4_Bvp;1652105050,78801;5,264179
E4_Bvp;1652105050,80364;5,691994
E4_Bvp;1652105050,81926;5,704967
E4_Bvp;1652105050,83489;5,124596
E4_Bvp;1652105050,85051;4,001785
E4_Bvp;1652105050,86614;2,410316
E4_Bvp;1652105050,88176;0,5014038
E4_Bvp;1652105050,89739;-1,588791
E4_Bvp;1652105050,91302;-3,734257
E4_Bvp;1652105050,92864;-5,849854
E4_Bvp;1652105050,94427;-7,850082
E4_Bvp;1652105050,95989;-9,686501
E4_Bvp;1652105050,97552;-11,40127
E4_Bvp;1652105050,99114;-12,99395
E4_Bvp;1652105051,00677;-14,52051
E4_Bvp;1652105051,0224;-15,97266
E4_Bvp;1652105051,03802;-17,31256
E4_Bvp;1652105051,05365;-18,50534
E4_Bvp;1652105051,06927;-19,54353
E4_Bvp;1652105051,0849;-20,55135
E4_Bvp;1652105051,10053;-21,71536
E4_Bvp;1652105051,11615;-23,34461
E4_Bvp;1652105051,13178;-25,64246
E4_Bvp;1652105051,1474;-28,62721
E4_Bvp;1652105051,16303;-32,06104
E4_Bvp;1652105051,17865;-35,41087
E4_Bvp;1652105051,19428;-37,97097
E4_Bvp;1652105051,20991;-39,00109
E4_Bvp;1652105051,22553;-37,90688
E4_Bvp;1652105051,24116;-34,43568
E4_Bvp;1652105051,25678;-28,80041
E4_Bvp;1652105051,27241;-21,65682
E4_Bvp;1652105051,28803;-14,06166
E4_Bvp;1652105051,30366;-7,149063
E4_Bvp;1652105051,31929;-1,798748
E4_Bvp;1652105051,33491;1,556187
E4_Bvp;1652105051,35054;3,085571
E4_Bvp;1652105051,36616;3,403549
E4_Bvp;1652105051,38179;3,292343
E4_Bvp;1652105051,39741;3,328499
E4_Bvp;1652105051,41304;3,782074
E4_Bvp;1652105051,42867;4,505394
E4_Bvp;1652105051,44429;5,181435
E4_Bvp;1652105051,45992;5,552025
E4_Bvp;1652105051,47554;5,534485
E4_Bvp;1652105051,49117;5,273842
E4_Bvp;1652105051,50679;5,05867
E4_Bvp;1652105051,52242;5,207474
E4_Bvp;1652105051,53805;5,910011
E4_Bvp;1652105051,55367;7,192886
E4_Bvp;1652105051,5693;8,907181
E4_Bvp;1652105051,58492;10,73724
E4_Bvp;1652105051,60055;12,36664
E4_Bvp;1652105051,61617;13,53403
E4_Bvp;1652105051,6318;14,15146
E4_Bvp;1652105051,64743;14,29327
E4_Bvp;1652105051,66305;14,09205
E4_Bvp;1652105051,67868;13,76077
E4_Bvp;1652105051,6943;13,59198
E4_Bvp;1652105051,70993;13,96008
E4_Bvp;1652105051,72555;15,27641
E4_Bvp;1652105051,74118;17,81038
E4_Bvp;1652105051,75681;21,35713
E4_Bvp;1652105051,77243;25,1068
E4_Bvp;1652105051,78806;27,73151
E4_Bvp;1652105051,80368;27,87652
E4_Bvp;1652105051,81931;24,85414
E4_Bvp;1652105051,83493;19,07471
E4_Bvp;1652105051,85056;11,91544
E4_Bvp;1652105051,86619;5,153221
E4_Bvp;1652105051,88181;0,1289368
E4_Bvp;1652105051,89744;-2,791916
E4_Bvp;1652105051,91306;-4,152702
E4_Bvp;1652105051,92869;-4,880074
E4_Bvp;1652105051,94431;-5,63913
E4_Bvp;1652105051,95994;-6,429092
E4_Bvp;1652105051,97557;-6,618279
E4_Bvp;1652105051,99119;-5,468079
E4_Bvp;1652105052,00682;-2,564911
E4_Bvp;1652105052,02244;1,924019
E4_Bvp;1652105052,03807;7,376328
E4_Bvp;1652105052,05369;12,95083
