Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652176343,99789;2,172176
E4_Bvp;1652176344,01352;1,067871
E4_Bvp;1652176344,02914;-0,114872
E4_Bvp;1652176344,04477;-1,343857
E4_Bvp;1652176344,06039;-2,648155
E4_Bvp;1652176344,07602;-4,119701
E4_Bvp;1652176344,09165;-5,86174
E4_Bvp;1652176344,10727;-7,937202
E4_Bvp;1652176344,1229;-10,29258
E4_Bvp;1652176344,13852;-12,72219
E4_Bvp;1652176344,15415;-14,90305
E4_Bvp;1652176344,16977;-16,4722
E4_Bvp;1652176344,1854;-17,17782
E4_Bvp;1652176344,20103;-16,98496
E4_Bvp;1652176344,21665;-16,08911
E4_Bvp;1652176344,23228;-14,80357
E4_Bvp;1652176344,2479;-13,4282
E4_Bvp;1652176344,26353;-12,0661
E4_Bvp;1652176344,27915;-10,6132
E4_Bvp;1652176344,29478;-8,855118
E4_Bvp;1652176344,31041;-6,612103
E4_Bvp;1652176344,32603;-3,894196
ManipulatedHR;1652176338,84616;41.91974
E4_Bvp;1652176344,34166;-0,8911018
E4_Bvp;1652176344,35728;2,109619
E4_Bvp;1652176344,37291;4,841125
E4_Hr;1652176338,84616;72,44947
E4_Ibi;1652176338,84616;0,8281634
E4_Bvp;1652176344,38853;7,134003
E4_Bvp;1652176344,40416;8,927719
E4_Bvp;1652176344,41979;10,20427
E4_Bvp;1652176344,43541;10,94654
E4_Bvp;1652176344,45104;11,14769
E4_Bvp;1652176344,46666;10,82261
E4_Bvp;1652176344,48229;10,08245
E4_Bvp;1652176344,49791;9,146523
E4_Bvp;1652176344,51354;8,287144
E4_Bvp;1652176344,52917;7,771233
E4_Bvp;1652176344,54479;7,719402
E4_Bvp;1652176344,56042;8,077068
E4_Bvp;1652176344,57604;8,594566
E4_Bvp;1652176344,59167;8,983891
E4_Bvp;1652176344,60729;9,049995
E4_Bvp;1652176344,62292;8,767342
E4_Bvp;1652176344,63855;8,283394
E4_Bvp;1652176344,65417;7,782467
E4_Bvp;1652176344,6698;7,369408
E4_Bvp;1652176344,68542;7,007595
E4_Bvp;1652176344,70105;6,577969
E4_Bvp;1652176344,71668;5,986813
E4_Bvp;1652176344,7323;5,278862
E4_Bvp;1652176344,74793;4,596886
E4_Bvp;1652176344,76355;4,080307
E4_Bvp;1652176344,77918;3,728302
E4_Bvp;1652176344,7948;3,372494
E4_Bvp;1652176344,81043;2,772871
E4_Bvp;1652176344,82606;1,748526
E4_Bvp;1652176344,84168;0,3017445
