Question, Answer
TQ1,Yes
TQ2,4
TQ3,5
TQ4,4
TQ5,5
TQ6,3
TQ7,4
TQ8,4
TQ9,4
TQ10,5
TQ11,4
TQ12,4
TQ13,3
