Question, Answer
TQ1,Yes
TQ2,6
TQ3,6
TQ4,6
TQ5,5
TQ6,5
TQ7,6
TQ8,5
TQ9,2
TQ10,4
TQ11,1
TQ12,5
TQ13,6
