Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652102763,35395;-13,15659
E4_Bvp;1652102763,36957;-12,77557
E4_Bvp;1652102763,3852;-12,19188
E4_Bvp;1652102763,40083;-11,60201
E4_Bvp;1652102763,41645;-11,19254
E4_Bvp;1652102763,43208;-11,02538
E4_Bvp;1652102763,4477;-11,10837
E4_Bvp;1652102763,46333;-11,39807
E4_Bvp;1652102763,47895;-11,80411
E4_Bvp;1652102763,49458;-12,26024
E4_Bvp;1652102763,51021;-12,66153
E4_Bvp;1652102763,52583;-12,99725
E4_Bvp;1652102763,54146;-13,28798
E4_Bvp;1652102763,55708;-13,64713
E4_Bvp;1652102763,57271;-14,1942
E4_Bvp;1652102763,58833;-15,04063
E4_Bvp;1652102763,60396;-16,17027
E4_Bvp;1652102763,61959;-17,3987
E4_Bvp;1652102763,63521;-18,46564
E4_Bvp;1652102763,65084;-18,99052
E4_Bvp;1652102763,66646;-18,63855
E4_Bvp;1652102763,68209;-17,20168
E4_Bvp;1652102763,69771;-14,72229
E4_Bvp;1652102763,71334;-11,46472
E4_Bvp;1652102763,72897;-7,891205
E4_Bvp;1652102763,74459;-4,538574
E4_Bvp;1652102763,76022;-1,822845
E4_Bvp;1652102763,77584;0,02633667
E4_Bvp;1652102763,79147;1,016083
E4_Bvp;1652102763,80709;1,308762
E4_Bvp;1652102763,82272;1,138977
E4_Bvp;1652102763,83835;0,6822357
E4_Bvp;1652102763,85397;0,01528931
E4_Bvp;1652102763,8696;-0,7984161
E4_Bvp;1652102763,88522;-1,708572
E4_Bvp;1652102763,90085;-2,594177
E4_Bvp;1652102763,91647;-3,335159
E4_Bvp;1652102763,9321;-3,889755
E4_Bvp;1652102763,94773;-4,2798
E4_Bvp;1652102763,96335;-4,64061
E4_Bvp;1652102763,97898;-5,074905
E4_Bvp;1652102763,9946;-5,672333
E4_Bvp;1652102764,01023;-6,391769
E4_Bvp;1652102764,02585;-7,131454
E4_Bvp;1652102764,04148;-7,71019
E4_Bvp;1652102764,05711;-8,016632
E4_Bvp;1652102764,07273;-7,999954
E4_Bvp;1652102764,08836;-7,72847
E4_Bvp;1652102764,10398;-7,364746
E4_Bvp;1652102764,11961;-7,022446
E4_Bvp;1652102764,13523;-6,782852
E4_Bvp;1652102764,15086;-6,621872
E4_Bvp;1652102764,16649;-6,465469
E4_Bvp;1652102764,18211;-6,201233
E4_Bvp;1652102764,19774;-5,810959
E4_Bvp;1652102764,21336;-5,361374
E4_Bvp;1652102764,22899;-5,040161
E4_Bvp;1652102764,24461;-5,077606
E4_Bvp;1652102764,26024;-5,641251
E4_Bvp;1652102764,27587;-6,717484
E4_Bvp;1652102764,29149;-8,1315
E4_Bvp;1652102764,30712;-9,533646
E4_Bvp;1652102764,32274;-10,5316
E4_Bvp;1652102764,33837;-10,7776
E4_Bvp;1652102764,35399;-10,07088
E4_Bvp;1652102764,36962;-8,428665
E4_Bvp;1652102764,38525;-6,077942
E4_Bvp;1652102764,40087;-3,382294
E4_Bvp;1652102764,4165;-0,7270508
E4_Bvp;1652102764,43212;1,597717
E4_Bvp;1652102764,44775;3,460312
E4_Bvp;1652102764,46337;4,835205
E4_Bvp;1652102764,479;5,797363
E4_Bvp;1652102764,49463;6,413666
E4_Bvp;1652102764,51025;6,723755
E4_Bvp;1652102764,52588;6,735367
E4_Bvp;1652102764,5415;6,463654
E4_Bvp;1652102764,55713;5,955383
E4_Bvp;1652102764,57275;5,316574
E4_Bvp;1652102764,58838;4,675552
E4_Bvp;1652102764,60401;4,087692
E4_Bvp;1652102764,61963;3,603607
E4_Bvp;1652102764,63526;3,241379
E4_Bvp;1652102764,65088;3,005386
E4_Bvp;1652102764,66651;2,908981
E4_Bvp;1652102764,68213;2,991577
E4_Bvp;1652102764,69776;3,309143
E4_Bvp;1652102764,71339;3,972778
E4_Gsr;1652102763,408;2,796565
E4_Gsr;1652102763,658;2,788875
E4_Gsr;1652102763,908;2,786312
E4_Gsr;1652102764,158;2,786312
E4_Gsr;1652102764,408;2,785031
E4_Gsr;1652102764,658;2,785031
E4_Bvp;1652102764,72901;5,045181
E4_Bvp;1652102764,74464;6,532501
E4_Bvp;1652102764,76026;8,319397
E4_Bvp;1652102764,77589;10,17758
E4_Bvp;1652102764,79151;11,78363
E4_Bvp;1652102764,80714;12,88135
E4_Bvp;1652102764,82277;13,3468
E4_Bvp;1652102764,83839;13,22507
E4_Bvp;1652102764,85402;12,7327
E4_Bvp;1652102764,86964;12,07919
E4_Bvp;1652102764,88527;11,3725
E4_Bvp;1652102764,90089;10,61246
E4_Bvp;1652102764,91652;9,687408
E4_Bvp;1652102764,93215;8,462433
E4_Bvp;1652102764,94777;6,901672
E4_Bvp;1652102764,9634;5,092194
E4_Bvp;1652102764,97902;3,203766
E4_Bvp;1652102764,99465;1,480438
E4_Bvp;1652102765,01027;0,1428833
E4_Bvp;1652102765,0259;-0,5923157
E4_Bvp;1652102765,04153;-0,5419617
E4_Bvp;1652102765,05715;0,3910217
E4_Bvp;1652102765,07278;2,182434
E4_Bvp;1652102765,0884;4,672668
E4_Bvp;1652102765,10403;7,589081
E4_Bvp;1652102765,11965;10,54456
E4_Bvp;1652102765,13528;13,16409
E4_Bvp;1652102765,15091;15,12183
E4_Bvp;1652102765,16653;16,22437
E4_Bvp;1652102765,18216;16,40457
E4_Bvp;1652102765,19778;15,72345
E4_Bvp;1652102765,21341;14,35648
E4_Bvp;1652102765,22903;12,50156
E4_Bvp;1652102765,24466;10,35715
E4_Bvp;1652102765,26029;8,039185
E4_Bvp;1652102765,27591;5,70343
E4_Bvp;1652102765,29154;3,460297
E4_Bvp;1652102765,30716;1,463928
E4_Bvp;1652102765,32279;-0,1425476
E4_Bvp;1652102765,33841;-1,250275
E4_Bvp;1652102765,35404;-1,810638
E4_Bvp;1652102765,36967;-1,853271
E4_Bvp;1652102765,38529;-1,491516
E4_Bvp;1652102765,40092;-0,9118042
E4_Bvp;1652102765,41654;-0,2275085
E4_Bvp;1652102765,43217;0,4316711
