Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652100982,30271;12,13109
E4_Bvp;1652100982,31834;10,80984
E4_Bvp;1652100982,33396;8,489731
E4_Bvp;1652100982,34959;5,355118
E4_Bvp;1652100982,36522;1,699814
E4_Bvp;1652100982,38084;-2,153641
E4_Bvp;1652100982,39647;-5,928482
E4_Bvp;1652100982,41209;-9,423447
E4_Bvp;1652100982,42772;-12,6501
E4_Bvp;1652100982,44334;-15,75702
E4_Bvp;1652100982,45897;-18,97603
E4_Bvp;1652100982,4746;-22,57979
E4_Bvp;1652100982,49022;-26,68959
E4_Bvp;1652100982,50585;-31,21062
E4_Bvp;1652100982,52147;-35,79573
E4_Bvp;1652100982,5371;-39,86395
E4_Bvp;1652100982,55272;-42,68915
E4_Bvp;1652100982,56835;-43,62332
E4_Bvp;1652100982,58398;-42,23071
E4_Bvp;1652100982,5996;-38,46524
E4_Bvp;1652100982,61523;-32,75227
E4_Bvp;1652100982,63085;-25,88889
E4_Gsr;1652100981,408;1,429377
E4_Gsr;1652100981,658;1,41528
E4_Gsr;1652100981,908;1,397338
E4_Gsr;1652100982,158;1,387086
E4_Gsr;1652100982,408;1,421688
E4_Gsr;1652100982,658;1,410154
E4_Bvp;1652100982,64648;-18,78874
E4_Bvp;1652100982,6621;-12,29259
E4_Bvp;1652100982,67773;-6,941437
E4_Bvp;1652100982,69336;-2,936539
E4_Bvp;1652100982,70898;-0,2184601
E4_Bvp;1652100982,72461;1,410568
E4_Bvp;1652100982,74023;2,166992
E4_Bvp;1652100982,75586;2,228943
E4_Bvp;1652100982,77148;1,748337
E4_Bvp;1652100982,78711;0,9275055
E4_Bvp;1652100982,80274;-0,00730896
ManipulatedHR;1652100977,30788;0
E4_Bvp;1652100982,81836;-0,8023682
E4_Bvp;1652100982,83399;-1,223251
E4_Bvp;1652100982,84961;-1,193665
E4_Bvp;1652100982,86524;-0,7584991
E4_Bvp;1652100982,88086;-0,1014252
E4_Bvp;1652100982,89649;0,6022491
E4_Hr;1652100977,30788;81,69833
E4_Ibi;1652100977,30788;0,7344091
E4_Bvp;1652100982,91212;1,233917
E4_Bvp;1652100982,92774;1,777481
E4_Bvp;1652100982,94337;2,270966
E4_Bvp;1652100982,95899;2,779846
E4_Bvp;1652100982,97462;3,345871
E4_Bvp;1652100982,99024;3,870392
E4_Bvp;1652100983,00587;4,229599
E4_Bvp;1652100983,0215;4,262039
E4_Bvp;1652100983,03712;3,859787
E4_Bvp;1652100983,05275;3,018753
E4_Bvp;1652100983,06837;1,813492
E4_Bvp;1652100983,084;0,3727112
E4_Bvp;1652100983,09962;-1,121109
E4_Bvp;1652100983,11525;-2,511414
E4_Bvp;1652100983,13088;-3,749237
E4_Bvp;1652100983,1465;-4,879486
E4_Bvp;1652100983,16213;-6,067383
E4_Bvp;1652100983,17775;-7,545883
E4_Bvp;1652100983,19338;-9,485046
E4_Bvp;1652100983,209;-11,84032
E4_Bvp;1652100983,22463;-14,28888
E4_Bvp;1652100983,24026;-16,27612
E4_Bvp;1652100983,25588;-17,11906
E4_Bvp;1652100983,27151;-16,30704
E4_Bvp;1652100983,28713;-13,59612
E4_Bvp;1652100983,30276;-9,130829
E4_Bvp;1652100983,31838;-3,406494
E4_Bvp;1652100983,33401;2,85733
E4_Bvp;1652100983,34964;8,934723
E4_Bvp;1652100983,36526;14,21982
E4_Bvp;1652100983,38089;18,32645
E4_Bvp;1652100983,39651;21,1149
E4_Bvp;1652100983,41214;22,67218
E4_Bvp;1652100983,42776;23,29401
E4_Bvp;1652100983,44339;23,34811
E4_Bvp;1652100983,45902;23,19145
E4_Bvp;1652100983,47464;23,08791
E4_Bvp;1652100983,49027;23,14696
E4_Bvp;1652100983,50589;23,32391
E4_Bvp;1652100983,52152;23,43756
E4_Bvp;1652100983,53714;23,25172
E4_Bvp;1652100983,55277;22,50505
E4_Bvp;1652100983,5684;21,08983
E4_Bvp;1652100983,58402;19,01033
E4_Bvp;1652100983,59965;16,4359
E4_Bvp;1652100983,61527;13,61415
E4_Bvp;1652100983,6309;10,78589
E4_Bvp;1652100983,64652;8,090714
E4_Bvp;1652100983,66215;5,551178
E4_Bvp;1652100983,67778;3,132568
E4_Bvp;1652100983,6934;0,7803802
E4_Bvp;1652100983,70903;-1,455414
E4_Bvp;1652100983,72465;-3,478287
E4_Bvp;1652100983,74028;-5,173843
E4_Bvp;1652100983,7559;-6,474686
E4_Bvp;1652100983,77153;-7,439255
E4_Bvp;1652100983,78716;-8,24884
E4_Bvp;1652100983,80278;-9,10054
E4_Bvp;1652100983,81841;-10,11255
E4_Bvp;1652100983,83403;-11,30443
E4_Bvp;1652100983,84966;-12,60263
E4_Bvp;1652100983,86528;-13,90955
E4_Bvp;1652100983,88091;-15,20146
E4_Bvp;1652100983,89654;-16,46005
E4_Bvp;1652100983,91216;-17,67583
E4_Bvp;1652100983,92779;-18,72929
E4_Bvp;1652100983,94341;-19,35365
E4_Bvp;1652100983,95904;-19,15685
E4_Bvp;1652100983,97466;-17,74641
E4_Bvp;1652100983,99029;-14,91158
E4_Bvp;1652100984,00592;-10,70018
E4_Bvp;1652100984,02154;-5,482025
E4_Bvp;1652100984,03717;0,2282867
E4_Bvp;1652100984,05279;5,796692
E4_Bvp;1652100984,06842;10,66891
E4_Bvp;1652100984,08405;14,41008
E4_Bvp;1652100984,09967;16,75433
E4_Bvp;1652100984,1153;17,63283
E4_Bvp;1652100984,13092;17,14664
E4_Bvp;1652100984,14655;15,57761
E4_Bvp;1652100984,16217;13,26511
E4_Bvp;1652100984,1778;10,56421
E4_Gsr;1652100982,908;1,406309
E4_Gsr;1652100983,158;1,405028
E4_Gsr;1652100983,408;1,394775
E4_Gsr;1652100983,658;1,405028
E4_Gsr;1652100983,908;1,438348
E4_Gsr;1652100984,158;1,490892
E4_Bvp;1652100984,19343;7,761536
E4_Bvp;1652100984,20905;5,083084
E4_Bvp;1652100984,22468;2,710861
E4_Bvp;1652100984,2403;0,791626
E4_Bvp;1652100984,25593;-0,5428009
E4_Bvp;1652100984,27155;-1,225113
E4_Bvp;1652100984,28718;-1,270294
E4_Bvp;1652100984,30281;-0,83255
E4_Bvp;1652100984,31843;-0,1096191
E4_Bvp;1652100984,33406;0,7036896
E4_Bvp;1652100984,34968;1,450409
E4_Bvp;1652100984,36531;2,045181
E4_Bvp;1652100984,38093;2,389481
E4_Bvp;1652100984,39656;2,323975
E4_Bvp;1652100984,41219;1,65538
E4_Bvp;1652100984,42781;0,2566986
E4_Bvp;1652100984,44344;-1,8647
E4_Bvp;1652100984,45906;-4,541702
E4_Bvp;1652100984,47469;-7,441635
E4_Bvp;1652100984,49031;-10,27539
E4_Bvp;1652100984,50594;-12,79987
E4_Bvp;1652100984,52157;-14,95871
E4_Bvp;1652100984,53719;-16,83333
E4_Bvp;1652100984,55282;-18,59813
E4_Bvp;1652100984,56844;-20,44417
E4_Bvp;1652100984,58407;-22,51352
E4_Bvp;1652100984,59969;-24,80643
E4_Bvp;1652100984,61532;-27,13396
E4_Bvp;1652100984,63095;-29,12737
E4_Bvp;1652100984,64657;-30,27417
E4_Bvp;1652100984,6622;-30,09113
E4_Bvp;1652100984,67782;-28,22769
E4_Bvp;1652100984,69345;-24,6414
E4_Bvp;1652100984,70907;-19,60693
E4_Bvp;1652100984,7247;-13,61407
E4_Bvp;1652100984,74033;-7,253235
E4_Bvp;1652100984,75595;-1,114212
E4_Bvp;1652100984,77158;4,301743
E4_Bvp;1652100984,7872;8,598282
E4_Bvp;1652100984,80283;11,51111
E4_Bvp;1652100984,81845;12,97092
E4_Bvp;1652100984,83408;13,13243
E4_Bvp;1652100984,84971;12,28104
E4_Bvp;1652100984,86533;10,83508
E4_Bvp;1652100984,88096;9,184586
E4_Bvp;1652100984,89658;7,615494
E4_Bvp;1652100984,91221;6,292526
E4_Bvp;1652100984,92783;5,338928
E4_Bvp;1652100984,94346;4,823868
E4_Bvp;1652100984,95909;4,809555
E4_Bvp;1652100984,97471;5,335281
E4_Bvp;1652100984,99034;6,300156
E4_Bvp;1652100985,00596;7,524994
E4_Bvp;1652100985,02159;8,769943
E4_Bvp;1652100985,03721;9,810303
E4_Bvp;1652100985,05284;10,49477
E4_Bvp;1652100985,06847;10,74963
E4_Bvp;1652100985,08409;10,53441
E4_Bvp;1652100985,09972;9,828873
E4_Bvp;1652100985,11534;8,660095
E4_Bvp;1652100985,13097;7,066986
E4_Bvp;1652100985,14659;5,126205
E4_Bvp;1652100985,16222;2,940506
E4_Bvp;1652100985,17785;0,59729
E4_Bvp;1652100985,19347;-1,827271
E4_Bvp;1652100985,2091;-4,276688
E4_Bvp;1652100985,22472;-6,704102
E4_Bvp;1652100985,24035;-9,078339
E4_Bvp;1652100985,25597;-11,38867
E4_Bvp;1652100985,2716;-13,67773
E4_Bvp;1652100985,28723;-15,97731
E4_Bvp;1652100985,30285;-18,22977
E4_Bvp;1652100985,31848;-20,22444
E4_Bvp;1652100985,3341;-21,52466
E4_Bvp;1652100985,34973;-21,54379
E4_Bvp;1652100985,36535;-19,70824
E4_Bvp;1652100985,38098;-15,66902
E4_Bvp;1652100985,39661;-9,481979
E4_Bvp;1652100985,41223;-1,689575
E4_Bvp;1652100985,42786;6,825363
E4_Bvp;1652100985,44348;15,04059
E4_Bvp;1652100985,45911;22,00002
E4_Bvp;1652100985,47473;27,11194
E4_Bvp;1652100985,49036;30,14938
E4_Bvp;1652100985,50599;31,22395
E4_Bvp;1652100985,52161;30,69762
