Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652176100,95539;26,0623
E4_Bvp;1652176100,97101;23,6878
E4_Bvp;1652176100,98664;21,51304
E4_Bvp;1652176101,00226;19,70034
E4_Bvp;1652176101,01789;18,23951
E4_Bvp;1652176101,03351;17,01024
E4_Bvp;1652176101,04914;15,86004
E4_Bvp;1652176101,06477;14,64985
E4_Bvp;1652176101,08039;13,35027
E4_Bvp;1652176101,09602;12,00357
E4_Bvp;1652176101,11164;10,66209
E4_Bvp;1652176101,12727;9,365124
E4_Bvp;1652176101,14289;8,107706
E4_Bvp;1652176101,15852;6,83906
E4_Bvp;1652176101,17415;5,511955
E4_Bvp;1652176101,18977;4,11927
E4_Bvp;1652176101,2054;2,654211
E4_Bvp;1652176101,22102;1,105118
E4_Bvp;1652176101,23665;-0,5538292
E4_Bvp;1652176101,25227;-2,355915
E4_Bvp;1652176101,2679;-4,31715
E4_Bvp;1652176101,28353;-6,396549
E4_Bvp;1652176101,29915;-8,534138
E4_Bvp;1652176101,31478;-10,65922
E4_Bvp;1652176101,3304;-12,73098
E4_Bvp;1652176101,34603;-14,76731
E4_Bvp;1652176101,36165;-16,8083
E4_Bvp;1652176101,37728;-18,89313
E4_Bvp;1652176101,39291;-21,01725
E4_Bvp;1652176101,40853;-23,12517
E4_Bvp;1652176101,42416;-25,12541
E4_Bvp;1652176101,43978;-26,98653
E4_Bvp;1652176101,45541;-28,75926
E4_Bvp;1652176101,47103;-30,53146
E4_Bvp;1652176101,48666;-32,38134
E4_Bvp;1652176101,50229;-34,22907
E4_Bvp;1652176101,51791;-35,771
E4_Bvp;1652176101,53354;-36,52844
E4_Bvp;1652176101,54916;-35,99448
E4_Bvp;1652176101,56479;-33,77769
E4_Bvp;1652176101,58041;-29,80082
E4_Bvp;1652176101,59604;-24,28878
E4_Bvp;1652176101,61167;-17,67821
E4_Bvp;1652176101,62729;-10,52152
ManipulatedHR;1652176096,20992;93.00024
E4_Bvp;1652176101,64292;-3,312764
E4_Bvp;1652176101,65854;3,598448
E4_Bvp;1652176101,67417;9,966338
E4_Hr;1652176096,20992;73,84273
E4_Ibi;1652176096,20992;0,8125377
E4_Bvp;1652176101,68979;15,62841
E4_Bvp;1652176101,70542;20,43396
E4_Bvp;1652176101,72105;24,20065
E4_Bvp;1652176101,73667;26,72734
E4_Bvp;1652176101,7523;27,89844
E4_Bvp;1652176101,76792;27,72247
E4_Bvp;1652176101,78355;26,42527
E4_Bvp;1652176101,79917;24,40758
E4_Gsr;1652176100,563;0,2832083
E4_Gsr;1652176100,813;0,2844898
E4_Gsr;1652176101,063;0,2844898
E4_Gsr;1652176101,313;0,2806453
E4_Gsr;1652176101,563;0,2806453
E4_Gsr;1652176101,813;0,2806453
E4_Bvp;1652176101,8148;22,124
E4_Bvp;1652176101,83043;19,94477
E4_Bvp;1652176101,84605;18,06046
E4_Bvp;1652176101,86168;16,51558
E4_Bvp;1652176101,8773;15,25687
E4_Bvp;1652176101,89293;14,2596
E4_Bvp;1652176101,90855;13,51197
E4_Bvp;1652176101,92418;12,99867
E4_Bvp;1652176101,93981;12,63637
E4_Bvp;1652176101,95543;12,24805
E4_Bvp;1652176101,97106;11,63455
E4_Bvp;1652176101,98668;10,6412
E4_Bvp;1652176102,00231;9,24388
E4_Bvp;1652176102,01793;7,551018
E4_Bvp;1652176102,03356;5,759381
E4_Bvp;1652176102,04919;4,020046
E4_Bvp;1652176102,06481;2,397386
E4_Bvp;1652176102,08044;0,8734112
E4_Bvp;1652176102,09606;-0,6588726
E4_Bvp;1652176102,11169;-2,28695
