Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652100410,27622;4,493488
E4_Bvp;1652100410,29185;3,740688
E4_Bvp;1652100410,30747;3,127979
E4_Bvp;1652100410,3231;2,701488
E4_Bvp;1652100410,33872;2,357395
E4_Bvp;1652100410,35435;1,889179
E4_Bvp;1652100410,36997;1,130383
E4_Bvp;1652100410,3856;0,03767014
E4_Bvp;1652100410,40123;-1,263649
E4_Bvp;1652100410,41685;-2,558563
E4_Bvp;1652100410,43248;-3,68195
E4_Bvp;1652100410,4481;-4,546844
E4_Bvp;1652100410,46373;-5,204086
E4_Bvp;1652100410,47935;-5,759785
E4_Bvp;1652100410,49498;-6,345451
E4_Bvp;1652100410,51061;-7,039127
E4_Bvp;1652100410,52623;-7,883553
E4_Bvp;1652100410,54186;-8,870338
E4_Bvp;1652100410,55748;-9,991596
E4_Bvp;1652100410,57311;-11,24134
E4_Bvp;1652100410,58873;-12,56944
E4_Bvp;1652100410,60436;-13,88236
E4_Bvp;1652100410,61999;-15,00423
E4_Bvp;1652100410,63561;-15,71481
E4_Bvp;1652100410,65124;-15,83945
E4_Bvp;1652100410,66686;-15,31136
E4_Bvp;1652100410,68249;-14,20882
E4_Bvp;1652100410,69811;-12,68548
E4_Bvp;1652100410,71374;-10,88833
E4_Bvp;1652100410,72937;-8,865902
E4_Bvp;1652100410,74499;-6,582993
E4_Bvp;1652100410,76062;-3,968903
E4_Bvp;1652100410,77624;-1,037312
ManipulatedHR;1652100405,28139;115.7706
E4_Bvp;1652100410,79187;2,060417
E4_Bvp;1652100410,8075;5,057838
E4_Hr;1652100405,28139;69,81495
E4_Ibi;1652100405,28139;0,8594148
E4_Bvp;1652100410,82312;7,661259
E4_Bvp;1652100410,83875;9,666359
E4_Bvp;1652100410,85437;10,9764
E4_Bvp;1652100410,87;11,6452
E4_Bvp;1652100410,88562;11,77472
E4_Bvp;1652100410,90125;11,50438
E4_Bvp;1652100410,91688;10,98105
E4_Bvp;1652100410,9325;10,35438
E4_Bvp;1652100410,94813;9,766693
E4_Bvp;1652100410,96375;9,33733
E4_Bvp;1652100410,97938;9,154972
E4_Bvp;1652100410,995;9,219166
E4_Bvp;1652100411,01063;9,495209
E4_Bvp;1652100411,02626;9,849075
E4_Bvp;1652100411,04188;10,11953
E4_Bvp;1652100411,05751;10,14222
E4_Bvp;1652100411,07313;9,790466
E4_Bvp;1652100411,08876;9,045055
E4_Bvp;1652100411,10438;7,9743
