Question, Answer
TQ1,Yes
TQ2,5
TQ3,5
TQ4,5
TQ5,3
TQ6,5
TQ7,4
TQ8,4
TQ9,5
TQ10,4
TQ11,5
TQ12,4
TQ13,3
